Software,User,Rating,Recent Purchase
HubSpot Marketing Hub,Kamal,8,1
Marketo,Ramu,7,1
Salesforce Pardot,Ramu,9,1
Autopilot,Ramu,10,0
Cliengo,Hareesh,2,1
Marketo,Ramu,2,0
Oracle Eloqua,Hareesh,7,1
SocialPilot,Ramu,8,0
Mautic,Ramu,4,1
WebEngage,Hareesh,8,0
Salesforce Marketing Cloud,Ramu,7,1
Optimizely,Hareesh,5,1
Sailthru,Ramu,9,1
Adobe Target,Hareesh,4,0
Emarsys,Muni,8,0
Yotpo,Hari,8,0
Braze,Ramu,7,0
MoEngage,Ramu,7,0
Inkit,Muni,6,0
SocialShopWave,Muni,6,0
Segment,Ramu,5,0
FullContact,Ramu,1,0
Hunter,Ramu,0,1
Sitecore,Muni,9,1
Action Recorder,Muni,9,1
Fiksu,Raju,5,0
Smadex,Raju,6,0
Splicky,Muni,7,1
netadge,Raju,7,0
NinthDecimal,Kamal,7,1
AppLovin,Ramu,8,1
Chartboost,Raju,8,1
AppLift,Muni,3,0
TrialPay,Raju,3,0
Kiip,Muni,4,1
Moz Local,Raju,4,1
Yext,Raju,3,0
Mobify,Raju,3,1
Brandify,Raju,3,0
Carto,Kamal,6,0
ClearBit,Ramu,6,1
App Annie,Raju,6,1
Owler,Raju,3,0
Crunchbase,Kamal,7,0
import.io,Hari,6,1
SEMrush,Kamal,8,1
Alexa,Kamal,7,1
Intutel,Hareesh,9,1
App Annie,Raju,10,1
SpyFu,Hareesh,2,1
PipeCandy,Hareesh,2,0
SimilarTech,Kamal,7,0
Scopi,Kamal,8,0
Goal Huddle,Hareesh,4,0
Impact,Hareesh,8,0
StructuredWeb,Hari,7,1
ChannelSight,Kamal,5,1
Lengow,Ramu,9,0
Relayware,Kamal,4,1
Mindmatrix,Hari,8,0
SuperRewards,Muni,8,1
GamEffective,Muni,7,0
uContact,Raju,7,1
Antavo,Hari,6,1
SolidOpinion,Hareesh,6,0
EventBrite,Hari,5,1
Splash,Ramu,1,0
DoubleDutch,Hareesh,0,1
Cvent,Raju,9,0
Jifflenow,Kamal,9,1
canUmeet,Hari,5,0
Upcall,Gopal,6,1
Steward,Komal,7,0
GrowthOk,Gopu,7,1
N3,Komal,7,1
ServiceSource,Gopu,8,1
SalesLoft,Gopal,8,1
ChartMogul,Komal,3,0
Datahug,Gopu,3,1
Madkudu,Manu,4,0
Nudge.ai,Manu,4,1
KiteDesk,Gopal,3,0
ClearSlide,Kannan,3,1
Panopto,Gopal,3,0
Guru,Sheetal,6,1
Showpad,Gopal,6,1
Clearbit,Gopu,6,1
Clearbit Connect,Manu,3,0
InsideView,Komal,7,0
Salesforce Data.com,Manu,6,0
DiscoverOrg,Manu,8,0
Salesforce Sales Cloud,Kannan,7,0
Pipedrive,Gopu,9,0
Zoho CRM,Kannan,10,0
Close,Komal,2,0
Streak,Kannan,2,0
ZoomInfo,Sheetal,7,1
KiteDesk,Kannan,8,1
Salestools,Manu,4,1
HeadReach,Gopal,8,0
MixRank,Sheetal,7,0
Streak,Kannan,5,1
Gmelius,Komal,9,0
Cloze,Kannan,4,1
Accelo,Kannan,8,1
Highrise,Kannan,8,1
Lusha,Komal,7,0
Appollo,Kannan,7,0
CONTACTBOX,Sheetal,6,1
Evercontact,Sheetal,6,1
FullContact,Sheetal,5,0
GitHub,Lakshmi,1,1
GitLab,Lal,0,0
GitHost,Fakru,9,0
ProjectLocker,Lakshmi,9,1
SourceRepo,Lal,5,1
Git,Fakru,6,0
GitLab,Lakshmi,7,0
GitHub,Lal,7,1
Atlassian SourceTree,Fakru,7,1
Atlassian Bitbucket Server,Juhal,8,1
Fiddler,Lakshmi,8,1
Xpediter,Lal,3,1
Sublime Web Inspector,Lakshmi,3,1
PVS-Studio,Lakshmi,4,0
CodeLobster IDE,Lal,4,0
ObjectBox,Meenakshi,3,0
HyperGraphDB,Lakshmi,3,0
InterSystems Cache,Lal,3,0
Grapholytic,Fakru,6,1
Frontier Kernel Project,Juhal,6,1
MongoDB,Fakru,6,0
Couchbase,Juhal,3,1
Apache Hbase,Fakru,7,0
Memcached,Juhal,6,1
Amazon DynamoDB,Joyal,8,0
Neo4j,Meenakshi,7,1
ArangoDB,Fakru,9,1
AllegroGraph,Juhal,10,0
OrientGraph,Joyal,2,1
Blazegraph,Meenakshi,2,0
Applivery,Lakshmi,7,1
Testfairy,Lal,8,0
HockeyApp,Joyal,4,1
Testflight,Meenakshi,8,0
BrowserStack,Lal,7,1
Appium,Fakru,5,0
Applause,Juhal,9,1
Calabash,Joyal,4,1
pCloudy,Meenakshi,8,1
AWS Mobile Hub,Lakshmi,8,1
Android Studio,Lal,7,0
Xamarin,Joyal,7,1
Supernova,Meenakshi,6,0
Monaca,Joyal,6,1
Appcelerator,Meenakshi,5,0
Lottie,Joyal,1,1
CanvasPod,Meenakshi,0,0
Selenium,Srinidhi,9,1
BrowserStack,Reshma,9,1
Bitbucket Piplines,Srinidhi,5,1
Capybara,Reshma,6,0
Assertible,Meera,7,0
BrowserStack,Kylie,7,0
Ghost Inspector,Srinidhi,7,0
Sauce Labs,Reshma,8,0
LambdaTest,Sharlette,8,0
Browserling,Yohan,3,0
BrowserStack,Srinidhi,3,0
LambdaTest,Reshma,4,0
FitNesse,Sharlette,4,1
Sauce Labs,Yohan,3,1
Assertible,Reshma,3,1
DigitalOcean,Srinidhi,3,0
Bluehost,Reshma,6,0
OVH Hosting,Meera,6,1
OpenStack,Kylie,6,0
Rackspace Hosting,Meera,3,1
WP Engine,Kylie,7,1
Bluehost,Meera,6,1
Hostinger,Kylie,8,0
ServerPilot,Sharlette,7,0
iPage,Yohan,9,1
nginx,Meera,10,1
DigitalOcean,Kylie,2,0
AWS Application Load Balancer,Meera,2,1
Azure Traffic Manager,Kylie,7,0
HAProxy,Yohan,8,0
Trend Micro,Srinidhi,4,1
Duo Security,Reshma,8,1
ngrok,Sharlette,7,0
Qualys,Yohan,5,0
OpenVPN,Sharlette,9,1
