Software,Category,Subcategory,Purpose
HubSpot Marketing Hub,Marketing,Marketing Automation,Marketing Automation Platform
Marketo,Marketing,Marketing Automation,Marketing Automation Platform
Salesforce Pardot,Marketing,Marketing Automation,Marketing Automation Platform
Autopilot,Marketing,Marketing Automation,Marketing Automation Platform
Cliengo,Marketing,Marketing Automation,Marketing Automation Platform
Marketo,Marketing,Marketing Automation,Cross-Channel Marketing Automation
Oracle Eloqua,Marketing,Marketing Automation,Cross-Channel Marketing Automation
SocialPilot,Marketing,Marketing Automation,Cross-Channel Marketing Automation
Mautic,Marketing,Marketing Automation,Cross-Channel Marketing Automation
WebEngage,Marketing,Marketing Automation,Cross-Channel Marketing Automation
Salesforce Marketing Cloud,Marketing,Marketing Automation,Personalization
Optimizely,Marketing,Marketing Automation,Personalization
Sailthru,Marketing,Marketing Automation,Personalization
Adobe Target,Marketing,Marketing Automation,Personalization
Emarsys,Marketing,Marketing Automation,Personalization
Yotpo,Marketing,Marketing Automation,Retention Marketing
Braze,Marketing,Marketing Automation,Retention Marketing
MoEngage,Marketing,Marketing Automation,Retention Marketing
Inkit,Marketing,Marketing Automation,Retention Marketing
SocialShopWave,Marketing,Marketing Automation,Retention Marketing
Segment,Marketing,Marketing Automation,Customer Data Integration
FullContact,Marketing,Marketing Automation,Customer Data Integration
Hunter,Marketing,Marketing Automation,Customer Data Integration
Sitecore,Marketing,Marketing Automation,Customer Data Integration
Action Recorder,Marketing,Marketing Automation,Customer Data Integration
Fiksu,Marketing,Mobile Marketing,Mobile DSP
Smadex,Marketing,Mobile Marketing,Mobile DSP
Splicky,Marketing,Mobile Marketing,Mobile DSP
netadge,Marketing,Mobile Marketing,Mobile DSP
NinthDecimal,Marketing,Mobile Marketing,Mobile DSP
AppLovin,Marketing,Mobile Marketing,Mobile Ad Network
Chartboost,Marketing,Mobile Marketing,Mobile Ad Network
AppLift,Marketing,Mobile Marketing,Mobile Ad Network
TrialPay,Marketing,Mobile Marketing,Mobile Ad Network
Kiip,Marketing,Mobile Marketing,Mobile Ad Network
Moz Local,Marketing,Mobile Marketing,Location Marketing
Yext,Marketing,Mobile Marketing,Location Marketing
Mobify,Marketing,Mobile Marketing,Location Marketing
Brandify,Marketing,Mobile Marketing,Location Marketing
Carto,Marketing,Mobile Marketing,Location Marketing
ClearBit,Marketing,Marketing Intelligence,Market Research
App Annie,Marketing,Marketing Intelligence,Market Research
Owler,Marketing,Marketing Intelligence,Market Research
Crunchbase,Marketing,Marketing Intelligence,Market Research
import.io,Marketing,Marketing Intelligence,Market Research
SEMrush,Marketing,Marketing Intelligence,Competitive Intelligence
